Package,dataset_title
abd,Mating Preferences in Sticklebacks
abd,Radioactive Teeth
abd,Autoimmune Reactivity in Lupus-prone Mice
abd,Liver Preparation
abd,Data for Meta-analysis
abd,Vasopressin Manipulation in the Meadow Vole
abd,Number of Boys in Two-Child Families
abd,Right-handed Toads
abd,Mass Extinction Frequency
abd,Wolf Tooth Measurements
abd,Rate of Speciation in Silverswords
abd,Brodmann's Area 44 in Chimps
abd,Horn Length and Predation Status of Horned Lizards
abd,Frequency of Convictions for a Cohort of English Boys
abd,Ostrich Body and Brain Temperatures
abd,Diet Breadth in a Rainforest Community
abd,Sex Ratios in Birds
abd,Alarm Calls in Chickadees
abd,Iguana Body Length Changes
abd,Penguin Heart Rate
abd,Dietary Learning in Tsetse Flies
abd,Social Spiders
abd,Bee Lifespans
abd,Home Range Size in Field Voles
abd,Trillium Recruitment near Clearcuts
abd,Malaria in Populations of Great Tit
abd,Salmon Survival in the Presence of Brook Trout
abd,Antilles Bird Immigration Dates
abd,Truffle Distribution
abd,Convictions and Income Level in a Cohort of English Boys
abd,Marine Reserve Biomass
abd,Indian Rope Trick
abd,Number of Seedlings Per Quadrat
abd,Seal Body Lengths and Age
abd,Effects of Cocaine on Dopamine Receptors
abd,Lodgepole Pine Cone Masses
abd,Tree Seedlings and Sunflecks
abd,Eelgrass Genotypes
abd,Causes of Teenage Deaths
abd,DEET and Mosquito Bites
abd,Cranial Capacity in Neanderthals and Modern Humans
abd,Ornamentation and Attractiveness in Guppies
abd,Salmon Survival in the Presence of Brook Trout
abd,Flower Length in Tobacco Plants
abd,Forehead Patch Size in Collared Flycatachers
abd,Deaths from Horse Kicks
abd,Eye Widths in Stalk-Eyed Flies
abd,Stalk-eyed Fly Eyespan
abd,Circadian Rhythm Phase Shift
abd,Earwig Density and Forceps
abd,Body Size in Anopheles Mosquitoes
abd,Godwit Arrival Dates
abd,Diversity in Urban Green Space
abd,Sexual Conflict
abd,"Presidential ""Wills"""
abd,Photosynthesis in Neotropical Trees
abd,Desert Bird Census Data
abd,Pufferfish Mimicry
abd,Progesterone and Exercise
abd,Gene Regulation in Saccharomyces
abd,Hemoglobin Levels in High Altitude Populations
abd,Sterility in Hybrid Pollens
abd,Number of Lateral Plates in Sticklebacks
abd,Shad Parasites
abd,Foraging Gene Expression
abd,Mate Preference in Zebra Finches
abd,Brain Structure in Bilingual Humans
abd,Sagebrush Cricket Mating Times
abd,Spermatophore Mass in Fireflies
abd,Intense Hurricanes
abd,Population Cycles of Lynx in Canada 1752-1819
abd,Left-handedness and Rates of Violence
abd,Day of Birth
abd,No Smoking Day
abd,Walking Stick Head Width
abd,Energy Expenditure in Mole Rats
abd,Body Masses of Female Sockeye Salmon
abd,Beetle Wings and Horns
abd,World Cup Goals
abd,Sprint Speeds in Canyon Lizards
abd,Exploited Larval Fish
abd,Bite Force in Collard Lizards
abd,Intertidal Algae
abd,Population Persistence Times
abd,Zebra Finch Carotenoids
abd,Immunity and Sperm Viability in Crickets
abd,Lion Age and Nose Coloration
abd,Primate White Blood Cell Counts and Promiscuity
abd,Dioecy vs. Monomorphism in Plants
abd,Effects of Aspirin on Cancer Rates
abd,Lobster Orientation
abd,Flower Length in Tobacco Plants
abd,Carbon Dioxide and Growth Rate in Algae
abd,Sumo Wrestling Wins
abd,Rigormortis and Time of Death
abd,Dolphin Swimming Behavior
abd,Spider Running Speeds after Amputation
abd,Proteolipid Protein 1 Gene Expression
abd,Energetic Cost of Diving
abn,simulated dataset from a DAG comprising of 33 variables
abn,"Dataset related to diseases present in 'finishing pigs', animals about to enter the human food chain at an abattoir."
accelerometry,Triaxial Sample Data
accelerometry,Uniaxial Sample Data
accelmissing,Accelerometer Data Example with Imputations
accelmissing,Accelerometer Data Example
accelmissing,Accelerometer Data Example 2
accrued,Data set for illustrating accrued data methods
accrued,Data set for illustrating accrued data methods
ACDm,Time Series Data Sets
ACDm,Time Series Data Sets
ACDm,Time Series Data Sets
ACDm,Time Series Data Sets
ACEt,Example data for the ACEt models
acid,ACID Simulated Data
acid,Parameter estimators obtained from Structured Additive Distributional Regression
acid,Distributions and their Parameters
acm4r,Sample replicate file
acm4r,Sample fingerprint file
acmeR,Placement and Searches for Carcasses at Altamont
acp,Polio cases in USA from Jan 1970 till Dec 1983
aCRM,"Credit approval (Frank and Asuncion, 2010)"
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
acs,County-level data from the 2007 American Community Survey for Kansas for use in examples of acs package.
acs,Consumer Price Index data (1913-2015).
acs,County-level data from the 2005-2009 American Community Survey for Kansas for use in examples of acs package.
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
acs,"Tract-level data from the 2006-2010 American Community Survey for Lawrence, MA for use in examples of acs package."
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
acs,FIPS codes and geographic names for use in searching and creating geographies in the acs package.
ACSNMineR,"Result from enrichment test of ""genes_test"" on the ACSN maps"
ACSNMineR,Atlas of Cancer Signalling Networks
ACSNMineR,Set of genes to test map
acss,"Data from Experiment 1 in Gauvrit, Singmann, Soler-Toscano & Zenil"
acss,"Data from Experiment 2 in Gauvrit, Singmann, Soler-Toscano & Zenil"
acss,Data from Experiment 1 in Matthews (2013)
ACSWR,British Doctors Smoking and Coronary Heart Disease
ACSWR,The Box-Cox Transformation for Viscosity Dataset
ACSWR,Simulated Sample from Normal Distribution
ACSWR,A Dataset for Factor Analysis
ACSWR,Simulated Sample from Binomial Distribution
ACSWR,Hardness and a Block Experiment
ACSWR,The Cloud Seeding Data
ACSWR,The Militiamen's Chest Dataset
ACSWR,The Tensile Strength Experiment
ACSWR,Life Expectancies
ACSWR,The Board Stiffness Dataset
ACSWR,Height-Weight Covariance Study
ACSWR,Abrasion Index for the Tire Tread
ACSWR,Testing for Physico-chemical Properties of Water in 4 Cities
ACSWR,The Cork Dataset
ACSWR,Understanding kernel smoothing through a simulated dataset
ACSWR,The Calcium in Soil
ACSWR,Chemical Reaction Experiment
ACSWR,Rocket Propellant Example Extended
ACSWR,Understanding Strength of Paper with a Three Factorial Experiment
ACSWR,Chemical Reaction Experiment
ACSWR,Car Data
ACSWR,Youden and Beale's Data on Lesions of Half-Leaves of Tobacco Plant
ACSWR,US Crime Data
ACSWR,Random Samples from Cauchy Distribution
ACSWR,The Cesarean Cases
ACSWR,The Low-Birth Weight Problem
ACSWR,Injuries in Airflights
ACSWR,Disease Outbreak Study
ACSWR,Simulated Dataset
ACSWR,The Seishu Wine Study
ACSWR,Two Factorial Experiment for Battery Data
ACSWR,A transition probability matrix
ACSWR,The Olson Heart Lung Dataset
ACSWR,Psychological Tests for Males and Females
ACSWR,"A matrix of transition probability matrix, second example"
ACSWR,Japanese atomic bomb survivors
ACSWR,Strength Data Set of a Girder Experiment
ACSWR,"A matrix of transition probability matrix, third example"
ACSWR,The Toluca Company Labour Hours against Lot Size
ACSWR,Simulated Sample from Poisson Distribution
ACSWR,Scatter Plots for Understanding Correlations
ACSWR,Forged Swiss Bank Notes
ACSWR,Rocket Propellant
ACSWR,Insurance Claims Data
ACSWR,Coronary Heart Disease
ACSWR,The Nerve Data
ACSWR,The Linguistic Probe Word Analysis
ACSWR,Hearing Loss Data
ACSWR,A Three Factorial Experiment for Bottling Data
ACSWR,Mucociliary Clearance
ACSWR,Memory Recall Times
ACSWR,Blocking for Intensity Data Set
ACSWR,The Shelf-Stocking Data
ACSWR,Apple of Different Rootstock
ACSWR,The Hamilton Depression Scale Factor
ACTCD,The partial orders of the attribute patterns for 'labeling'
ACTCD,The partial orders of the attribute patterns for 'labeling'
ACTCD,Simulated data
ACTCD,A complete Q-matrix used to generate 'sim.dat'.
Actigraphy,Data Set Containing a One Day Average of Actigraph Data for 29 Subjects
Actigraphy,Data Set Containing Five Weekdays of Actigraph Data for One Subject
Actigraphy,Data Set Containing BMI(Body Mass Index) Information from 29 Subjects
Actigraphy,Data Set Containing AHI(Apnea Hypopnea Index) Information from 8 Subjects
Actigraphy,Data Set Containing AHI(Apnea Hypopnea Index) Information from 29 Subjects
Actigraphy,Data Set Containing a One Day Average of Actigraph Data for 8 Subjects
activity,Animal record time of day data
activity,Animal speed data
activpalProcessing,Example of a Bed Log
activpalProcessing,Second-by-second data frame
activpalProcessing,Example Log of Subjects
activpalProcessing,Example on/off Log
activpalProcessing,Example AP Events File
activpalProcessing,Example AP Events File
activpalProcessing,activpal events data
activpalProcessing,Example AP Events File
activpalProcessing,Example AP Events File
actuar,Individual Dental Claims Data Set
actuar,Hachemeister Data Set
actuar,Grouped Dental Claims Data Set
ada,Solubility Data
AdaptFit,Absenteeism data
addhaz,Example of disability data
addhazard,Dataset from the National Wilms Tumor Study (NWTS)
addhazard,An hypothetical two-phase sampling dataset based on nwtsco dataset from the National Wilms Tumor Study (NWTS)
additivityTests,Multi-headed Machine Data
ADDT,Adhesive Formulation K Data
ADDT,Adhesive Bond B dataset
ADDT,Polymeric Material
ADDT,Data for Seal Strength
ade4,Distribution of of tropical trees along the Panama canal
ade4,Ponds in a nature reserve
ade4,Genomes of 43 Bacteria
ade4,Faunistic K-tables
ade4,Mountain Avifauna
ade4,"Ecological Data : sites-variables, sites-species, where and when"
ade4,Electrocardiogram data
ade4,Ecological and Biological Traits
ade4,Ecomorphological Convergence
ade4,Example for Centring in PCA
ade4,Contingency Table
ade4,Qualitative Weighted Variables
ade4,Dune Meadow Data
ade4,Olympic Decathlon
ade4,Bird species distribution
ade4,Indirect Ordination
ade4,Microsatellites of Galapagos tortoises populations
ade4,Small Ecological Dataset
ade4,Phylogeny and quantitative traits of teleos fishes
ade4,Genetics-Ecology-Environment Triple
ade4,Granulometric Curves
ade4,Pair of Ecological Tables
ade4,Table of Fuzzy Biological Traits
ade4,Wine Tasting
ade4,Fauna Table with double (row and column) partitioning
ade4,French Worker Survey (1970)
ade4,Vegetation in Trois-Fontaines
ade4,Genetic structure of two nitrogen fixing bacteria influenced by geographical isolation and host specialization
ade4,Triangular Data
ade4,Two Questions asked on a Sample of 1000 Respondents
ade4,K-tables of wine-tasting
ade4,Homogeneous Table
ade4,human mitochondrial DNA restriction data
ade4,Pair of Ecological Data
ade4,"Distribution of Alpine plants in Aravo (Valloire, France)"
ade4,Exam marks for some students
ade4,Phylogeny and quantitative traits of flowers
ade4,Athletes' Morphology
ade4,"Taxonomy, phylogenies and quantitative traits of carnivora and herbivora"
ade4,Enzymatic polymorphism in Mus musculus
ade4,Road Distances
ade4,Array of Recapture of Rings
ade4,Faunistic Communities and Sampling Experiment
ade4,Arrivals at an intensive care unit
ade4,Assemblages of Macroinvertebrates in the Loire River (France)
ade4,African Estuary Fishes
ade4,Genetic Variation In Human Populations
ade4,Pair of Tables
ade4,Global State of the World in 1984
ade4,Contingency Table with a partition in Molecular Biology
ade4,Phylogeny and quantitative traits of carnivora
ade4,Pair of Variables
ade4,Taxonomy and quantitative traits of carnivora
ade4,Phylogeny and trait of bacteria
ade4,Avifauna and Vegetation
ade4,Codon usage
ade4,Enzymatic polymorphism in Leuciscus cephalus
ade4,Phylogeny and quantitative traits of birds
ade4,Plant assemblages in woodlands of the conurbation of Angers (France)
ade4,Phylogeny and quantitative traits of ungulates.
ade4,Spatial pattern analysis in plant communities
ade4,Plant traits response to grazing
ade4,Frequenting movie theaters in France in 2003
ade4,K-tables Multi-Regions
ade4,Landmarks
ade4,Morphological Study of the Painted Turtle
ade4,Phylogeny and quantative trait of carnivora
ade4,Distance Matrices
ade4,Wine Tasting
ade4,Point sampling of fish community
ade4,Corvus morphology
ade4,Freshwater fish zoogeography in west Africa
ade4,Physico-Chemistry Data
ade4,Charolais-Zebus
ade4,Tinto and Odiel estuary geochemistry
ade4,"Ecological Data : sites-variables, sites-species, where and when"
ade4,Road distances in New-Zealand
ade4,Results of the French presidential elections of 2002
ade4,Transect in the Vegetation
ade4,Genetic/Environment and types of variables
ade4,A table of Qualitative Variables
ade4,Genetic Relationships between cattle breeds with microsatellites
ade4,Cubic Ecological Data
ade4,Morphometric Evolution
ade4,Allelic frequencies in ten honeybees populations at eight microsatellites loci
ade4,Genetic variability of Cacadors
ade4,Phylogeny and quantitative traits of flowers
ade4,Examples of taxonomy
ade4,Ordination Table
ade4,Phylogenetic trees in Newick format
ade4,Ecological Tables Triplet
ade4,Phylogenetic and quantitative traits of amazonian palm trees
ade4,Table of Factors
ade4,Veterinary epidemiological study to assess the risk factors for losses in broiler chickens
ade4,Fruit Production
ade4,Students and Subjects
ade4,Oribatid mite
ade4,Fission pattern and heritable morphological traits
ade4,Phyto-Ecological Survey
ade4,Fauna Table for Constrained Ordinations
ade4,Seed dispersal
ade4,Geary's Irish Data
ade4,Correspondence Analysis Table
ade4,Phylogenies and quantitative traits from Abouheif
ade4,Buech basin
ade4,Electoral Data
ade4,Average temperatures of 30 French cities
ade4,Phylogeny and quantitative traits of lizards
adegenet,Microsatellites genotypes of 335 chamois (Rupicapra rupicapra) from the Bauges mountains (France)
adegenet,Seasonal influenza (H3N2) HA segment data
adegenet,Simulated genotypes of two georeferenced populations
adegenet,Microsatellites genotypes of 15 cattle breeds
adegenet,Simulated data illustrating the DAPC
adegenet,Simulated data illustrating the sPCA
adegenet,Extended HGDP-CEPH dataset
adegenet,Microsatellites genotypes of 237 cats from 17 colonies of Nancy (France)
adehabitat,GPS Monitoring of One Chamois in the Bauges Mountains
adehabitat,Argos Monitoring of Whale Movement
adehabitat,Radio-Tracking of Pheasants
adehabitat,Argos Monitoring of Adult Albatross Movement
adehabitat,GPS Monitoring of One Mouflon in the Caroux Mountain
adehabitat,Radio-Tracking Data of Wild Boar
adehabitat,GPS Monitoring of Four Ibex in the Belledonne Mountain (irregular data)
adehabitat,Argos Monitoring of Hooded Seal
adehabitat,Habitat Use by Three Species of Galliformes in the Vanoise National Parc
adehabitat,GPS Monitoring of Four Ibex in the Belledonne Mountain
adehabitat,Radio-Tracking of Bighorn Sheeps
adehabitat,Argos monitoring of Porpoise Movements
adehabitat,Census of chamois (Rupicapra rupicapra) in the Bauges mountains
adehabitat,Location of Chamois Groups in the Chartreuse Mountains
adehabitat,Radio-Tracking Data of Squirrels
adehabitat,Radio-Tracking Data of Wild Boar (2)
adehabitat,GPS Monitoring of one Roe Deer in Chize (France)
adehabitat,GPS monitoring of one brown bear
adehabitat,Radio-tracking of squirrels
adehabitat,GPS Monitoring of one Roe Deer in Trois-Fontaines (France)
adehabitat,Teal (Anas crecca) Ring Recovery Dataset
adehabitat,Habitat Selection by the Wild Boar at Puechabon
adehabitat,Monitoring of Lynx
adehabitat,Movements of wild boars tracked at Puechabon
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatHS,NA
adehabitatLT,GPS Monitoring of One Chamois in the Bauges Mountains
adehabitatLT,Argos Monitoring of Whale Movement
adehabitatLT,Argos Monitoring of Adult Albatross Movement
adehabitatLT,GPS Monitoring of One Mouflon in the Caroux Mountain
adehabitatLT,GPS Monitoring of Four Ibex in the Belledonne Mountain (irregular data)
adehabitatLT,Argos Monitoring of Hooded Seal
adehabitatLT,GPS Monitoring of Four Ibex in the Belledonne Mountain
adehabitatLT,Argos monitoring of Porpoise Movements
adehabitatLT,GPS monitoring of a buffalo
adehabitatLT,GPS Monitoring of one Roe Deer in Chize (France)
adehabitatLT,GPS monitoring of one brown bear
adehabitatLT,GPS Monitoring of one Roe Deer in Trois-Fontaines (France)
adehabitatLT,Teal (Anas crecca) Ring Recovery Dataset
adehabitatLT,Movements of wild boars tracked at Puechabon
adehabitatMA,Radio-Tracking Data of Wild Boar
adehabitatMA,Monitoring of Lynx
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
adephylo,NA
AdequacyModel,Breaking stress of carbon fibres
adespatial,NA
adespatial,NA
adespatial,NA
adhoc,NA
adlift,NA
admixturegraph,Statistics for populations of bears
admixturegraph,Admixture graphs of 4 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 4 leaves and 1 admixture event compressed into vectors
admixturegraph,Admixture graphs of 4 leaves and 2 admixture events compressed into vectors
admixturegraph,Admixture graphs of 3 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 3 leaves and 1 admixture event compressed into vectors
admixturegraph,Admixture graphs of 8 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 7 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 7 leaves and 1 admixture event compressed into vectors
admixturegraph,Admixture graphs of 2 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 6 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 6 leaves and 1 admixture event compressed into vectors
admixturegraph,Admixture graphs of 6 leaves and 2 admixture events compressed into vectors
admixturegraph,Admixture graphs of 5 leaves and 0 admixture events compressed into vectors
admixturegraph,Admixture graphs of 5 leaves and 1 admixture event compressed into vectors
admixturegraph,Admixture graphs of 5 leaves and 2 admixture events compressed into vectors
ADPclust,243-dimensional gene expression data of 38 patients (243 genes)
ADPclust,500 5-dimensional data points that form five clusters
ADPclust,90 2-dimensional data points that form three clusters
ADPclust,500 5-dimensional data points that form five clusters
ADPclust,1000 5-dimensional data points that form ten clusters
ads,NA
ads,NA
ads,NA
ads,NA
ads,NA
adwave,NA
aemo,AEMO data set May 2009 - May 2014
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AER,NA
AF,NA
AF,NA
AF,NA
afc,Example Data of Dichotomous Observations and Ensemble Forecasts
afc,Example Data of Polychotomous Observations and Probabilistic Forecasts
afc,Example Data of Polychotomous Observations and Polychotomous Forecasts
afc,Example Data of Dichotomous Observations and Polychotomous Forecasts
afc,Example Data of Dichotomous Observations and Probabilistic Forecasts
afc,Example Data of Continuous Observations and Continuous Forecasts
afc,Example Data of Continuous Observations and Ensemble Forecasts
afc,Example Data of Polychotomous Observations and Continuous Forecasts
afc,Example Data of Dichotomous Observations and Continuous Forecasts
afc,Example Data of Polychotomous Observations and Ensembles Forecasts
afc,Example Data of Dichotomous Observations and Dichotomous Forecasts
affluenceIndex,Equivalised income
AFM,NA
AFM,NA
AFM,NA
AFM,NA
afmToolkit,NA
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,References WHO
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,References WHO
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from CDC 2000
AGD,Growth of Dutch boys
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,References WHO
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,References WHO
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from Third Dutch Growth Study 1980
AGD,Reference tables from Fourth Dutch Growth Study 1997
AGD,Reference tables from CDC 2000
AGD,Reference tables from CDC 2000
AGD,References WHO
AGD,Reference tables from Fourth Dutch Growth Study 1997
Agreement,DCLHb dataset
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agricolae,NA
agridat,Herbicide control of larkspur
agridat,Corn silage yields for Year * Loc * Variety with covariate
agridat,Water use by horticultural trees
agridat,Uniformity trials of oat hay and wheat
agridat,Potato yields in single-drill plots
agridat,Yields of turnips grown for winter fodder
agridat,Mercer and Hall's uniformity trial of wheat in 1910
agridat,Uniformity trial of sorghum silage
agridat,Yields of 8 barley varities in 1913 as used by Student.
agridat,Wheat row-column experiment
agridat,Barley heights and environmental covariates in Norway
agridat,Soybean balanced incomplete block experiment
agridat,Disease incidence on grape leaves in RCB experiment
agridat,Uniformity trial of 600 millet plots.
agridat,Lodging data from a multi-environment trial cereal crop
agridat,Diameters of apples
agridat,Yield for conventional and semi-dwarf wheat varieties
agridat,Multi-environment trial of corn laid out in incomplete-blocks
agridat,Uniformity trials of bromegrass.
agridat,Corn borer control by application of fungal spores.
agridat,"Counts of webworms in a beet field, with insecticide treatments."
agridat,Uniformity trials of fruit tree yields.
agridat,Wheat varieties with heteroskedastic yields
agridat,"Potato blight due to weather in Prosser, Washington"
agridat,Long-term barley yields at different fertilizer levels
agridat,Fusarium infection in wheat varieties
agridat,Yield of oats in a split-block experiment
agridat,Competition experiment in beans with height measurements
agridat,"Daily weight, feed, egg measurements for a broiler"
agridat,U.S. historical crop yields by state
agridat,Spring barley in United Kingdom
agridat,U.S. historical crop yields by state
agridat,Fungus infection in varieties of wheat
agridat,Yield from a barley uniformity trial
agridat,Percent of barley leaves affected by leaf blotch
agridat,"Uniformity study of sugarbeets with measurements of yield, sugar, purity"
agridat,Wheat yields of 22 varieties at 14 sites in Australia
agridat,Potato yields in response to potash and nitrogen fertilizer
agridat,Wheat experiment with diagonal checks
agridat,A switchback trial in dairy cattle
agridat,Split-plot barley variety trial with fungicide treatments
agridat,Soil nitrogen at three times for eight fertilizer treatments
agridat,Yield of 6 barley varieties at 18 locations in Alberta.
agridat,Half diallel of maize
agridat,Three-way table of rape seed yields
agridat,Gross profit for four vegetable crops in six years
agridat,Plant strength of perennial ryegrass in France
agridat,Yield monitor data for a corn field in Argentina with variable nitrogen.
agridat,Row-column design
agridat,Slate Hall Farm 1976 spring wheat
agridat,Switchback trial in dairy with three treatments
agridat,Yields of wheat cultivars introduced 1860-1982.
agridat,Soil resistivity in a field
agridat,Split strip plot on soybeans
agridat,Barley uniformity trial
agridat,"Yield of corn, alfalfa, clover with two fertilizers"
agridat,Ordered disease ratings on strawberry crosses.
agridat,Multi-environment trial of Winter Wheat in Ontario
agridat,Lattice experiment in soybeans.
agridat,Strawberry yields in RCB experiment
agridat,Counts of eelworms before and after fumigant treatments
agridat,Incomplete block alpha design
agridat,Ranges of analytes in soybean from other authors
agridat,Bodyweight of cows in a 2-by-2 factorial experiment
agridat,Counts of yellow/white and sweet/starchy maize kernels by 15 observers
agridat,Asparagus yields for different cutting treatments
agridat,U.S. historical crop yields by state
agridat,Corn response to nitrogen fertilizer at 5 sites.
agridat,Rice yield at six different densities
agridat,Alpha lattice design of spring oats
agridat,Balanced lattice experiment in cotton
agridat,Uniformity trials of fruit tree yields.
agridat,Sugar beet yields with competition effects
agridat,Rice strip-plot experiment
agridat,Rice multilocation Split-Plot
agridat,Rice fractional factorial experiment
agridat,Impact of Bt Corn on non-target species
agridat,Tomato weight/yield and environmental covariates in Latin America
agridat,Maize yield-density model
agridat,Height of Eucalyptus trees in southern Brazil
agridat,"Yield of bermuda grass with N, P, K fertilizers"
agridat,Row column design of a spring barley trial with many varieties
agridat,Nebraska farm income in 2007 by county
agridat,Wireworms controlled by fumigants in a latin square
agridat,Rice group balanced split-plot design
agridat,Infestation of carrots by fly larvae
agridat,Uniformity trial of corn in three consecutive years
agridat,Germination of alfalfa seeds at various salt concentrations
agridat,Early generation lupin trial with 3 sites
agridat,Relation between wheat yield and weather in Argentina
agridat,Weight of cork samples on four sides of trees
agridat,Peanut yields for 10 genotypes in 15 environments
agridat,Soybean yields in Brazil.
agridat,Wheat yields in a line-source sprinkler experiment
agridat,Repeated measurements of resistance to potato blight.
agridat,Heading dates for cock's foot on 25 varieties in 7 years
agridat,Corn yield in multi-environment trial
agridat,Early White Food Corn Performance Tests
agridat,Maize fertilization trial on Antigua and St. Vincent
agridat,Hessian fly damage to wheat varities
agridat,U.S. historical crop yields by state
agridat,Maize yields at 4 locs in 3 years in Louisianna.
agridat,Multi-environment trial with structured missing values
agridat,Wheat yields for 18 genotypes at 25 locations
agridat,Presence of footroot disease in an endive field
agridat,Yield and number of plants in a sugarbeet fertilizer experiment
agridat,"Lupin yields for different varieties and locations, at many densities"
